id,product_name,target_audience,pain_point,ad_copy,cta,framework,tone,date_created
1,RKARI Glass Cleaning,Property,Kaca gedung tinggi kusam & sulit dibersihkan,RKARI Glass Cleaning: solusi Property yang terukur. Kaca gedung tinggi kusam & sulit dibersihkan? Kami hadir dengan pendekatan professional untuk hasil nyata. Action sekarang.,Pesan Sekarang,AIDA,Professional,2026-06-09
2,KopiKita Roastery,F&B,Margin tipis karena bahan baku kopi naik terus,"Masih terganggu: Margin tipis karena bahan baku kopi naik terus? Dibiarkan, masalah ini menggerus biaya & reputasi. KopiKita Roastery menyelesaikannya secara casual.",Hubungi Kami,PAS,Casual,2026-05-26
3,MediTrack Pro,Health,Antrian pasien berantakan tanpa sistem terpusat,MediTrack Pro: solusi Health yang terukur. Antrian pasien berantakan tanpa sistem terpusat? Kami hadir dengan pendekatan luxury untuk hasil nyata. Action sekarang.,Download Gratis,AIDA,Luxury,2026-06-15
4,CloudLedger,Tech,Tim finance kewalahan tutup buku tiap bulan,CloudLedger: solusi Tech yang terukur. Tim finance kewalahan tutup buku tiap bulan? Kami hadir dengan pendekatan professional untuk hasil nyata. Action sekarang.,Dapatkan Penawaran,AIDA,Professional,2026-06-09
5,UrbanThread,Fashion,Stok lambat terjual karena promosi kurang menarik,UrbanThread: solusi Fashion yang terukur. Stok lambat terjual karena promosi kurang menarik? Kami hadir dengan pendekatan luxury untuk hasil nyata. Action sekarang.,Dapatkan Penawaran,AIDA,Luxury,2026-05-25
6,SafeBuild AMC,B2B,Maintenance gedung reaktif & biaya darurat membengkak,Dulu mereka berhadapan dengan Maintenance gedung reaktif & biaya darurat membengkak. Sampai menemukan SafeBuild AMC. Pendekatan casual mengubah segalanya — kini giliran Anda.,Download Gratis,Storytelling,Casual,2026-05-29
7,FreshMart Daily,B2C,Pelanggan ragu belanja online karena takut tak segar,"FreshMart Daily — berguna, mendesak, unik untuk B2C. Pelanggan ragu belanja online karena takut tak segar teratasi dengan hasil terukur dalam 30 hari. Gaya professional.",Dapatkan Penawaran,4U,Professional,2026-05-25
8,DataPulse Analytics,Tech,Keputusan bisnis lambat tanpa dashboard real-time,Dulu mereka berhadapan dengan Keputusan bisnis lambat tanpa dashboard real-time. Sampai menemukan DataPulse Analytics. Pendekatan urgent mengubah segalanya — kini giliran Anda.,Pesan Sekarang,Storytelling,Urgent,2026-06-12
9,Villa Serenity,Property,Okupansi rendah di musim sepi,"Masih terganggu: Okupansi rendah di musim sepi? Dibiarkan, masalah ini menggerus biaya & reputasi. Villa Serenity menyelesaikannya secara urgent.",Hubungi Kami,PAS,Urgent,2026-06-14
10,GlowDerma Clinic,Health,Pasien skincare bingung memilih treatment yang tepat,Dulu mereka berhadapan dengan Pasien skincare bingung memilih treatment yang tepat. Sampai menemukan GlowDerma Clinic. Pendekatan professional mengubah segalanya — kini giliran Anda.,Pesan Sekarang,Storytelling,Professional,2026-05-20
11,RKARI Glass Cleaning,Property,Kaca gedung tinggi kusam & sulit dibersihkan,"RKARI Glass Cleaning — berguna, mendesak, unik untuk Property. Kaca gedung tinggi kusam & sulit dibersihkan teratasi dengan hasil terukur dalam 30 hari. Gaya luxury.",Pesan Sekarang,4U,Luxury,2026-05-22
12,KopiKita Roastery,F&B,Margin tipis karena bahan baku kopi naik terus,KopiKita Roastery: solusi F&B yang terukur. Margin tipis karena bahan baku kopi naik terus? Kami hadir dengan pendekatan friendly untuk hasil nyata. Action sekarang.,Daftar Trial,AIDA,Friendly,2026-06-13
13,MediTrack Pro,Health,Antrian pasien berantakan tanpa sistem terpusat,Dulu mereka berhadapan dengan Antrian pasien berantakan tanpa sistem terpusat. Sampai menemukan MediTrack Pro. Pendekatan professional mengubah segalanya — kini giliran Anda.,Daftar Trial,Storytelling,Professional,2026-06-07
14,CloudLedger,Tech,Tim finance kewalahan tutup buku tiap bulan,"CloudLedger — berguna, mendesak, unik untuk Tech. Tim finance kewalahan tutup buku tiap bulan teratasi dengan hasil terukur dalam 30 hari. Gaya luxury.",Dapatkan Penawaran,4U,Luxury,2026-05-25
15,UrbanThread,Fashion,Stok lambat terjual karena promosi kurang menarik,UrbanThread: solusi Fashion yang terukur. Stok lambat terjual karena promosi kurang menarik? Kami hadir dengan pendekatan professional untuk hasil nyata. Action sekarang.,Dapatkan Penawaran,AIDA,Professional,2026-05-23
16,SafeBuild AMC,B2B,Maintenance gedung reaktif & biaya darurat membengkak,"SafeBuild AMC — berguna, mendesak, unik untuk B2B. Maintenance gedung reaktif & biaya darurat membengkak teratasi dengan hasil terukur dalam 30 hari. Gaya professional.",Dapatkan Penawaran,4U,Professional,2026-05-20
17,FreshMart Daily,B2C,Pelanggan ragu belanja online karena takut tak segar,FreshMart Daily: solusi B2C yang terukur. Pelanggan ragu belanja online karena takut tak segar? Kami hadir dengan pendekatan friendly untuk hasil nyata. Action sekarang.,Pesan Sekarang,AIDA,Friendly,2026-06-02
18,DataPulse Analytics,Tech,Keputusan bisnis lambat tanpa dashboard real-time,"DataPulse Analytics — berguna, mendesak, unik untuk Tech. Keputusan bisnis lambat tanpa dashboard real-time teratasi dengan hasil terukur dalam 30 hari. Gaya casual.",Pesan Sekarang,4U,Casual,2026-06-05
19,Villa Serenity,Property,Okupansi rendah di musim sepi,"Masih terganggu: Okupansi rendah di musim sepi? Dibiarkan, masalah ini menggerus biaya & reputasi. Villa Serenity menyelesaikannya secara urgent.",Hubungi Kami,PAS,Urgent,2026-05-28
20,GlowDerma Clinic,Health,Pasien skincare bingung memilih treatment yang tepat,"Masih terganggu: Pasien skincare bingung memilih treatment yang tepat? Dibiarkan, masalah ini menggerus biaya & reputasi. GlowDerma Clinic menyelesaikannya secara luxury.",Dapatkan Penawaran,PAS,Luxury,2026-06-11
21,RKARI Glass Cleaning,Property,Kaca gedung tinggi kusam & sulit dibersihkan,Dulu mereka berhadapan dengan Kaca gedung tinggi kusam & sulit dibersihkan. Sampai menemukan RKARI Glass Cleaning. Pendekatan friendly mengubah segalanya — kini giliran Anda.,Pesan Sekarang,Storytelling,Friendly,2026-05-18
22,KopiKita Roastery,F&B,Margin tipis karena bahan baku kopi naik terus,"Masih terganggu: Margin tipis karena bahan baku kopi naik terus? Dibiarkan, masalah ini menggerus biaya & reputasi. KopiKita Roastery menyelesaikannya secara urgent.",Hubungi Kami,PAS,Urgent,2026-06-09
23,MediTrack Pro,Health,Antrian pasien berantakan tanpa sistem terpusat,MediTrack Pro: solusi Health yang terukur. Antrian pasien berantakan tanpa sistem terpusat? Kami hadir dengan pendekatan urgent untuk hasil nyata. Action sekarang.,Download Gratis,AIDA,Urgent,2026-06-08
24,CloudLedger,Tech,Tim finance kewalahan tutup buku tiap bulan,CloudLedger: solusi Tech yang terukur. Tim finance kewalahan tutup buku tiap bulan? Kami hadir dengan pendekatan casual untuk hasil nyata. Action sekarang.,Daftar Trial,AIDA,Casual,2026-05-19
25,UrbanThread,Fashion,Stok lambat terjual karena promosi kurang menarik,"UrbanThread — berguna, mendesak, unik untuk Fashion. Stok lambat terjual karena promosi kurang menarik teratasi dengan hasil terukur dalam 30 hari. Gaya casual.",Download Gratis,4U,Casual,2026-06-04
26,SafeBuild AMC,B2B,Maintenance gedung reaktif & biaya darurat membengkak,Dulu mereka berhadapan dengan Maintenance gedung reaktif & biaya darurat membengkak. Sampai menemukan SafeBuild AMC. Pendekatan casual mengubah segalanya — kini giliran Anda.,Pesan Sekarang,Storytelling,Casual,2026-06-12
27,FreshMart Daily,B2C,Pelanggan ragu belanja online karena takut tak segar,"Masih terganggu: Pelanggan ragu belanja online karena takut tak segar? Dibiarkan, masalah ini menggerus biaya & reputasi. FreshMart Daily menyelesaikannya secara luxury.",Daftar Trial,PAS,Luxury,2026-06-08
28,DataPulse Analytics,Tech,Keputusan bisnis lambat tanpa dashboard real-time,Dulu mereka berhadapan dengan Keputusan bisnis lambat tanpa dashboard real-time. Sampai menemukan DataPulse Analytics. Pendekatan luxury mengubah segalanya — kini giliran Anda.,Download Gratis,Storytelling,Luxury,2026-06-05
29,Villa Serenity,Property,Okupansi rendah di musim sepi,"Masih terganggu: Okupansi rendah di musim sepi? Dibiarkan, masalah ini menggerus biaya & reputasi. Villa Serenity menyelesaikannya secara casual.",Daftar Trial,PAS,Casual,2026-06-01
30,GlowDerma Clinic,Health,Pasien skincare bingung memilih treatment yang tepat,GlowDerma Clinic: solusi Health yang terukur. Pasien skincare bingung memilih treatment yang tepat? Kami hadir dengan pendekatan professional untuk hasil nyata. Action sekarang.,Hubungi Kami,AIDA,Professional,2026-06-12
